order_item_id,order_id,product_id,quantity,unit_price,line_total
OI0000001-1,O0000001,P000002,3,366.22,1098.66
OI0000001-2,O0000001,P000003,2,150.12,300.24
OI0000001-3,O0000001,P000003,1,150.12,150.12
OI0000002-1,O0000002,P000003,5,150.12,750.60
OI0000002-2,O0000002,P000002,3,366.22,1098.66
OI0000002-3,O0000002,P000001,2,193.06,386.12
OI0000002-4,O0000002,P000001,3,193.06,579.18
OI0000003-1,O0000003,P000004,4,353.76,1415.04
OI0000003-2,O0000003,P000002,3,366.22,1098.66
OI0000003-3,O0000003,P000002,2,366.22,732.44
OI0000003-4,O0000003,P000005,5,433.91,2169.55
OI0000004-1,O0000004,P000005,4,433.91,1735.64
OI0000004-2,O0000004,P000001,1,193.06,193.06
OI0000005-1,O0000005,P000005,4,433.91,1735.64
OI0000005-2,O0000005,P000005,3,433.91,1301.73
OI0000005-3,O0000005,P000005,1,433.91,433.91
OI0000005-4,O0000005,P000001,5,193.06,965.30
OI0000006-1,O0000006,P000001,3,193.06,579.18
OI0000006-2,O0000006,P000005,2,433.91,867.82
OI0000006-3,O0000006,P000005,1,433.91,433.91
OI0000006-4,O0000006,P000003,5,150.12,750.60
OI0000007-1,O0000007,P000004,1,353.76,353.76
OI0000007-2,O0000007,P000001,3,193.06,579.18
OI0000007-3,O0000007,P000003,2,150.12,300.24
OI0000008-1,O0000008,P000004,5,353.76,1768.80
OI0000008-2,O0000008,P000002,3,366.22,1098.66
OI0000009-1,O0000009,P000003,4,150.12,600.48
OI0000009-2,O0000009,P000005,4,433.91,1735.64
OI0000009-3,O0000009,P000001,2,193.06,386.12
OI0000009-4,O0000009,P000002,1,366.22,366.22
OI0000010-1,O0000010,P000002,1,366.22,366.22
OI0000011-1,O0000011,P000005,2,433.91,867.82
OI0000011-2,O0000011,P000005,5,433.91,2169.55
OI0000012-1,O0000012,P000003,4,150.12,600.48
OI0000012-2,O0000012,P000004,4,353.76,1415.04
OI0000012-3,O0000012,P000001,1,193.06,193.06
OI0000012-4,O0000012,P000001,4,193.06,772.24
