order_id,customer_id,order_timestamp,status,order_total,updated_at
O0000001,C000009,2025-09-15T23:07:07,processing,1549.02,2024-09-07T05:56:57
O0000002,C000004,2025-02-14T09:44:53,completed,2814.56,2025-08-03T11:27:25
O0000003,C000010,2024-09-26T21:17:02,cancelled,5415.69,2025-02-12T13:10:47
O0000004,C000007,2024-04-22T05:33:53,processing,1928.70,2025-09-02T02:18:46
O0000005,C000002,2024-09-30T23:20:12,shipped,4436.58,2024-10-27T15:49:45
O0000006,C000006,2025-09-15T07:14:31,processing,2631.51,2024-06-14T19:38:17
O0000007,C000002,2024-02-29T08:46:11,completed,1233.18,2025-05-12T02:31:11
O0000008,C000004,2025-06-24T22:05:07,cancelled,2867.46,2025-07-06T07:19:25
O0000009,C000010,2024-12-12T00:45:57,processing,3088.46,2024-08-13T00:15:42
O0000010,C000009,2024-02-02T12:01:49,completed,366.22,2024-08-31T10:08:20
O0000011,C000007,2025-04-29T08:50:50,cancelled,3037.37,2024-07-13T03:26:03
O0000012,C000004,2024-12-13T03:58:42,processing,2980.82,2024-07-13T19:31:32
O0000001,C000009,2025-09-15T23:07:07,processing,1549.02,2024-09-07T05:56:57
