payment_id,order_id,payment_method,payment_status,amount,payment_timestamp
PAY0000001,O0000001,gift_card,paid,1549.02,2025-09-15T23:07:07
PAY0000002,O0000002,paypal,paid,2814.56,2025-02-14T09:44:53
PAY0000003,O0000003,paypal,refunded,5415.69,2024-09-26T21:17:02
PAY0000004,O0000004,gift_card,paid,1928.70,2024-04-22T05:33:53
PAY0000005,O0000005,paypal,paid,4436.58,2024-09-30T23:20:12
PAY0000006,O0000006,card,paid,2631.51,2025-09-15T07:14:31
PAY0000007,O0000007,paypal,paid,1233.18,2024-02-29T08:46:11
PAY0000008,O0000008,bank_transfer,refunded,2867.46,2025-06-24T22:05:07
PAY0000009,O0000009,card,paid,3088.46,2024-12-12T00:45:57
PAY0000010,O0000010,gift_card,paid,366.22,2024-02-02T12:01:49
PAY0000011,O0000011,card,refunded,3037.37,2025-04-29T08:50:50
PAY0000012,O0000012,gift_card,paid,2980.82,2024-12-13T03:58:42
